0-Producto,1-Unidad,2-Precio Productores,Existencia Inicial,Categoría,5-Productor,Ubicación,7-Precio Ciudad Silvestre,Margen
Betabel Baby,Manojo,$10.00,15,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Kale toscano,Manojo,$10.00,21,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Queso Asadero (450gr),Pieza,$90.00,13,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$129.00,0.7
Quelite,Manojo,$10.00,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Quintonil,Manojo,$10.00,6,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Rábano amarillo,Manojo,$10.00,8,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Aguacate,Kilo (min 1/2k) ,$45.00,37,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$64.00,0.7
Arúgula,Manojo,$14.00,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Acelga arcoiris,Manojo,$10.00,15,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Algafita,Manojo,$10.00,5,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Brócoli,Pieza,$12.00,28,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$17.00,0.7
Cilantro,Manojo,$10.00,18,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Col verde,Pieza,$12.00,6,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$17.00,0.7
Colinabo morado y verde,Pieza,$12.00,8,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$17.00,0.7
Espinaca,Manojo,$10.00,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Hinojo,Manojo,$10.00,3,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Kale rizado verde y morado,Manojo,$10.00,15,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Lechuga mix,Pieza,$10.00,28,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Nopales sin espinas,Pieza,$2.00,148,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$3.00,0.7
Ortiga,Manojo,$10.00,7,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Té de monte,Manojo,$10.00,2,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Tortillas,Docena,$15.00,19,Varios,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$21.00,0.7
Sopes,Docena,$20.00,12.5,Varios,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$29.00,0.7
Verdolagas,Manojo,$10.00,13,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$14.00,0.7
Alcachofa grande,Pieza,$25.00,16,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$36.00,0.7
Pollo Libre Pastoreo ( Aprox. 2K),Pieza,$250.00,8,Proteínas,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$333.00,0.75
Pasta Fresca Fettuccini,Pieza,$50.00,9,Panadería,PARRILLA PARAISO ( @parrillaparaiso),CDMX,$71.00,0.7
Panqué Zanahoria (800g aprox) ,Pieza,$200.00,2,Panadería,SAHUMERIO (@sahumeriocatering),CDMX,$267.00,0.75
Mermelada Guayaba con Piloncillo,Pieza,$88.00,3,Varios,SAHUMERIO (@sahumeriocatering),CDMX,$126.00,0.7
Monkey Butter (mermelada de plátano con piña y coco) 8oz ,Pieza,$145.00,3,Varios,SAHUMERIO (@sahumeriocatering),CDMX,$193.00,0.75
Hummus (220g ),Pieza,$80.00,5,Varios,SAHUMERIO (@sahumeriocatering),CDMX,$114.00,0.7
Bombones de Lavanda (160g ),Pieza,$100.00,2,Pastelería y Postres,SAHUMERIO (@sahumeriocatering),CDMX,$143.00,0.7
Fruit Rollups 100g Mango/ Fresa ,Pieza,$105.00,2,Pastelería y Postres,SAHUMERIO (@sahumeriocatering),CDMX,$150.00,0.7
Yogurt (1L ),1 Litro,$80.00,5,Lácteos,MARMOTA (@marmota_mx),CDMX,$107.00,0.75
"Granola (avena, avellana, higo, semilla de hinojo, semilla de cilantro, pimienta, semilla de mostaza) (200g)",Pieza,$50.00,11,Granos y Semillas,MARMOTA (@marmota_mx),CDMX,$71.00,0.7
Queso de montaña con trufa (200g) ,Pieza,$90.00,6,Lácteos,MARMOTA (@marmota_mx),CDMX,$129.00,0.7
Pork Belly Semicurado (500g c/u),Pieza,$150.00,8,Proteínas,MARMOTA (@marmota_mx),CDMX,$200.00,0.75
